product,rating,text
10006894,5.0,Брал в кредит для открытия видеосалона. Народ так и прёт посмотреть на телевизор. Рекомендую .
10006894,5.0,Отличное капиталовложение.
10006894,5.0,"Мухи засиживают, трудно отмыть "
10006894,5.0,"Думаю, что стоит брать каждому, если устраивает размер ну или дождаться выхода более большого формата. "
10006894,5.0,"Хорошая картинка, но немного устаревший дизайн, звук громкий, даже есть будильник"
10006894,5.0,"В ё-мобиль не влез, пришлось заказать доставку. Экран мог бы быть и побольше, в спальне он затерялся, с кровати плохо видно, слишком далеко, а стоит у стены. Домашняя львица по началу его пугалась, потом вовсе перестала заходить в комнату."
10006894,5.0,"Наверное хороший, раз такая цена
Нет в наличии, нужно ждать. Блин, так ничего и не выбрал"
10006894,5.0,Пульт прикольный
10006894,5.0,Нет настенного крепления
10006894,4.0,"Цветной и большой телек, норм, пойдёт"
10006894,4.0,Цветной
10006894,3.0,"с просмотрам канала ""Живая природа HD"" жена перестала просится в отпуск, загорает вместе с подругами на диване. Пересмотрел фильм чужой, больше не улыбаюсь. Берите не пожалеете."
10006894,3.0,"зимой в -35 прогревает квартиру до комфортной температуры (экономия на отоплении) Перевез на дачу в теплицу, теперь снимаю урожай по 5 раз в гол"
10006894,3.0,"пришли домой с администрации, увидев телевизор отказали в программе реновации."
10006894,5.0,Советую всем .Не пожалеете .Тем более стоит копейки!!
10006894,5.0,Хороший бюджетный телевизор
10006894,5.0,Минусов нет.Меня всё устраивает
10006894,5.0,"Хотел купить этот телевизор , но не одобрили  ипотеку.  Пришлось разбить копилку у ребенка, добавить к заначке и купить за наличные. Очень пригодился промокод на скидку 500 рублей.  В комплекте не дали 3д очки и к вайфаю не удалось подключится- вырубило интернет во всем районе. Для лучшего просмотра подключился с спутниковой тарелке и сразу пришли люди в штатском и сказали что телевизор создает помехи  и мешает им работать,  слушать  переговоры  в ЦРУ. Отняли антенну.  Коробку отвез на дачу и приспособил под баньку, предварительно покрыв лаком- на двоих хватает вполне. Отличный товар, можно смело брать."
10006894,5.0,Не нужны батареи в доме
10006894,5.0,Плохая  коробка.
10006894,5.0,Берите парни не пожалеете потраченных денег. Супер ящик
10006894,5.0,Крут
10006894,5.0,Не нашел
10006894,5.0,Норм телек но большой слишком!
10006894,5.0,Норм телек!
10006894,5.0,большой слишком!
10006894,5.0,"Нормалёк, всё для народа... Я простой гос чиновник,  нравится смотреть на нём новости в 3D ... чувствую себя рядом с народом.."
10006894,5.0,Смотрю новости на нём.. супер
10006894,5.0,Батарейки от пульта дорого
10006894,3.0,"ПРИНЕС ДОМОЙ  жена заставила поменять на новый мерин дачу в подмосковье 
"
10006894,5.0,"Как же много людей купило данное несусветное чудо, вот и я решила, глядя на отзывы,оправить данный товар в корзину.Но я поступлю хитрее и подожду, когда цена снизится хотя бы на пару тысяч, у меня еще и бонус 500 р есть(спасибо МВИДЕО).Так, что советую так поступить другим. Как только снизят цену надо сразу брать, а то еще не успею!"
10006894,5.0,Год гарантии
10006894,5.0,На пару тысяч дешевле бы
10006894,3.0,"Сегодня купил не дорогой телевизор от компании Samsung. Качество картинки не идеал, но для просмотра футбола конечно подойдет. Собакам очень понравилась коробка (Я собственного говоря купил телевизор из-за этой коробки). Звук на телевизоре довольно громкий. Для хорошего звука купил комплект акустических систем KEF T205. 3D очки в комплекте не идут. Если у вас есть лишние 60 МЛН. рублей купите у него коробка больно классная!"
10006894,3.0,"Хорошая коробка. Мои собаки в доме в ней спят и играют, Звук нормальный."
10006894,3.0,"Импортный. Вот наш Рубин за 10K рублей показывает лучше, чем Samsung."
10006894,5.0,Смастерил подушку и матрас и пенопласта-уплотнителя. Пенопласт жесткий - для спины хорошо. Он также утяжеляет коробку поэтому её никто не сможет  украсть.
10006894,5.0,Нашел коробку от телевизора. Спасибо доброму человеку что он мне её подарил. Теперь у меня есть свои 100 М2.
10006894,5.0,Без утеплителя зимой очень холодно. 
10006894,5.0,пользую как подставку под цветы. Лежит на задней стенки.когда включаю маки распускаются.
10006894,5.0,Офигенно маленький экран как раньше в тетрис корманный погонять можно
10006894,5.0,мало дали боннусных рублей-
10006894,5.0,"Очень классный телек. Доступная цена.
Купил сей девайс месяц назад, и не могу нарадоваться)
Продал 2 квартиры(свою, и родителей жены), чтобы купить новую большую. Проходил мимо М видео, и решил зайти просто так. Когда увидел сей девайс, сразу понял, нафиг эта новая квартира и новый автомобиль(детские игрушки). В общем купил его, и мне даже доставку бесплатную сделали, прикинте)))!!!
Теперь все смотрим этот телек и живем в шестером на улице в коробке из под этого телека(это так здорово). Все знакомые друзья тоже теперь подумывают продать свои квартиры, и купить этот телек(уже объявления разместили).
В общем советую - это вещь стоит своих денег на 5 999 999%!!!"
